Sr. No.,College Name,Placement %
126,"4137 - Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur",NA
127,"4138 - Jaidev Education Society, J D College of Engineering and Management",81.00%
128,"4139 - Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology",77.80%
129,"4141 - Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology",94%
130,"4142 - Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur",~2.4%
131,"4143 - Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering",0%
132,"4144 - Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology", 65–70%
133,"4145 - Wainganga College of Engineering and Management, Dongargaon",80%
134,"4147 - K.D.K. College of Engineering, Nagpur",60–75%
135,"4151 - Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nagpur",75.60%
136,"4167 - Yeshwantrao Chavan College of Engineering,Wanadongri",NA
137,"4172 - Anjuman College of Engineering & Technology, Nagpur",100%
138,"4174 - ST. Vincent Pallotti College of Engineering & Technology, Nagpur",49.50%
139,"4175 - JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",
140,"4177 - Priyadarshini Bhagwati College of Engineering, Harpur Nagar",~60–70%
141,"4181 - Swaminarayan Siddhanta Institute Of Technology, Nagpur",NA
142,"4188 - Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology",75%
143,"4190 - M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Bhadrawati",NA
144,"4192 - Maitraya Education Society, Nagarjuna Institute of Engineering Technology",80%
145,"4193 - K.D.M. Education Society, Vidharbha Institute of Technology",NA
146,"4196 - Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",75%
147,"4197 - Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering",NA
148,"4285 - V M Institute of Engineering and Technology, Dongargaon",NA
149,"4302 - Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur",NA
150,"4304 - Cummins College of Engineering For Women, Sukhali",86%
151,"4613 - Suryodaya College of Engineering & Technology, Nagpur",~70–80%
152,"4648 - R.V. Parankar College of Engineering & Technology, Arvi",-
153,"4649 - Bajaj Institute of Technology, Wardha",
154,"5003 - University Institute of Chemical Technology, North Maharashtra University",
155,"5004 - Government College of Engineering, Jalgaon",
156,"5103 - Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule",
157,"5104 - Shramsadhana Bombay Trust, College of Engineering",
158,"5106 - Khandesh College Education Society's College Of Engineering And Management, Jalgaon",
159,"5108 - Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik",
160,"5109 - Sandip Foundation, Sandip Institute of Technology and Research Centre",
161,"5121 - K. K. Wagh Institute of Engineering Education and Research, Nashik",
162,"5124 - Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",
163,"5125 - Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist",
164,"5130 - Brahma Valley College of Engineering & Research, Trimbakeshwar",
165,"5139 - Pravara Rural College of Engineering, Loni",
166,"5151 - MET Bhujbal Knowledge City MET League's Engineering College, Adgaon",
167,"5152 - G H Raisoni Institute of Engineering and Business Management, Jalgaon",
168,"5160 - Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",
169,"5161 - Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",
170,"5162 - Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",
171,"5164 - P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada",
172,"5168 - T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",
173,"5169 - Nagaon Education Society's Gangamai College of Engineering, Nagaon",
174,"5170 - Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",
175,"5171 - Godavari Foundation's Godavari College Of Engineering, Jalgaon",
176,"5172 - R. C. Patel Institute of Technology, Shirpur",
177,5173 - SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering,
178,"5177 - Matoshri College of Engineering and Research Centre, Eklahare",
179,"5179 - Vishwabharati Academy's College of Engineering, Ahmednagar",
180,"5181 - Gokhale Education Society's, R",
181,"5182 - Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering",
182,"5184 - Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal",
183,"5244 - MET's Institute of Technology Polytechnic, Bhujbal Knowledge City",
184,"5303 - Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions",
185,"5322 - Jamia Institute Of Engineering And Management Studies, Akkalkuwa",
186,"5330 - PUNE VIDYARTHI GRIHA’S COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK",
187,"5331 - Sandip Foundation's, Sandip Institute of Engineering",
188,"5365 - Vardhaman Education & Welfare Society, Ahinsa Institute of Technology",
189,"5380 - Adsul's Technical Campus, Chas Dist",
190,"5381 - Shri. Jaykumar Rawal Institute of Technology, Dondaicha",
191,"5382 - Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",
192,"5390 - K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik",60-70%
193,"5396 - College of Engineering and Technology ,North Maharashtra Knowledge City",65-75%
194,"5399 - Sanghavi College of Engineering, Varvandi",30% to 60%
195,"5401 - Jawahar Education Society's Institute of Technology, Management",50-60%
196,"5408 - Vidya Niketan College of Engineering, Bota Sangamner",70-80%
197,"5409 - Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal",83.80%
198,"5411 - Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon",10-30%
199,"5418 - Guru Gobind Singh College of Engineering & Research Centre, Nashik",70% - 85%
200,"5449 - Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule",80%
201,"5497 - P.G. College of Engineering & Technology, Nandurbar",NA
202,"6004 - Government College of Engineering & Research, Avasari Khurd",82–87%
203,"6005 - Government College of Engineering, Karad",86.60%
204,"6007 - Walchand College of Engineering, Sangli",85-90%
205,"6028 - Department of Technology, Shivaji University",70% - 80%
206,"6036 - Government College of Engineering, Kolhapur",60-70%
207,"6122 - TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan",65-75%
208,"6138 - Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi",20% - 65%
209,"6139 - Progressive Education Society's Modern College of Engineering, Pune",60% - 90%
210,"6141 - Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering",75-80%
211,"6144 - Genba Sopanrao Moze College of Engineering, Baner",80%
212,"6145 - JSPM'S Jaywantrao Sawant College of Engineering,Pune",60% to 85%
213,"6146 - MIT Academy of Engineering,Alandi",70-90%
214,"Siddhant College of Engineering, A/p Sudumbare, Tal.Maval, Dist-Pune",20-30%
215,"6155 - G.H.Raisoni College of Engineering & Management, Wagholi",72%
216,"6156 - Marathwada Mitra Mandal's College of Engineering, Karvenagar",88%
217,"6175 - Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering",80% to 85%
218,"6177 - Sinhgad College of Engineering, Vadgaon",85-90%
219,"6178 - Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon",70-90%
220,"6179 - Indira College of Engineering & Management, Pune",25% to 85%
221,"6182 - Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science",80%
222,"6183 - Al-Ameen Educational and Medical Foundation, College of Engineering",NA
223,"6184 - K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli",30-45%
224,"6187 - Sinhgad Academy of Engineering, Kondhwa",70-80%
